TEAM_ID,SEASON,W,W_PCT
1610612747,2009-10,57.0,0.695
1610612763,2009-10,40.0,0.488
1610612748,2009-10,47.0,0.573
1610612749,2009-10,46.0,0.561
1610612750,2009-10,15.0,0.183
1610612751,2009-10,12.0,0.146
1610612740,2009-10,37.0,0.451
1610612752,2009-10,29.0,0.354
1610612760,2009-10,50.0,0.61
1610612753,2009-10,59.0,0.72
1610612755,2009-10,27.0,0.329
1610612756,2009-10,54.0,0.659
1610612757,2009-10,50.0,0.61
1610612758,2009-10,25.0,0.305
1610612759,2009-10,50.0,0.61
1610612761,2009-10,40.0,0.488
1610612762,2009-10,53.0,0.646
1610612764,2009-10,26.0,0.317
1610612737,2010-11,44.0,0.537
1610612738,2010-11,56.0,0.683
1610612766,2010-11,34.0,0.415
1610612741,2010-11,62.0,0.756
1610612739,2010-11,19.0,0.232
1610612742,2010-11,57.0,0.695
1610612743,2010-11,50.0,0.61
1610612765,2010-11,30.0,0.366
1610612744,2010-11,36.0,0.439
1610612745,2010-11,43.0,0.524
1610612754,2010-11,37.0,0.451
1610612746,2010-11,32.0,0.39
1610612747,2010-11,57.0,0.695
1610612763,2010-11,46.0,0.561
1610612748,2010-11,58.0,0.707
1610612749,2010-11,35.0,0.427
1610612750,2010-11,17.0,0.207
1610612751,2010-11,24.0,0.293
1610612740,2010-11,46.0,0.561
1610612752,2010-11,42.0,0.512
1610612760,2010-11,55.0,0.671
1610612753,2010-11,52.0,0.634
1610612755,2010-11,41.0,0.5
1610612756,2010-11,40.0,0.488
1610612757,2010-11,48.0,0.585
1610612758,2010-11,24.0,0.293
1610612759,2010-11,61.0,0.744
1610612761,2010-11,22.0,0.268
1610612762,2010-11,39.0,0.476
1610612764,2010-11,23.0,0.28
1610612737,2011-12,40.0,0.606
1610612738,2011-12,39.0,0.591
1610612766,2011-12,7.0,0.106
1610612741,2011-12,50.0,0.758
1610612739,2011-12,21.0,0.318
1610612742,2011-12,36.0,0.545
1610612743,2011-12,38.0,0.576
1610612765,2011-12,25.0,0.379
1610612744,2011-12,23.0,0.348
1610612745,2011-12,34.0,0.515
1610612754,2011-12,42.0,0.636
1610612746,2011-12,40.0,0.606
1610612747,2011-12,41.0,0.621
1610612763,2011-12,41.0,0.621
1610612748,2011-12,46.0,0.697
1610612749,2011-12,31.0,0.47
1610612750,2011-12,26.0,0.394
1610612751,2011-12,22.0,0.333
1610612740,2011-12,21.0,0.318
1610612752,2011-12,36.0,0.545
1610612760,2011-12,47.0,0.712
1610612753,2011-12,37.0,0.561
1610612755,2011-12,35.0,0.53
1610612756,2011-12,33.0,0.5
1610612757,2011-12,28.0,0.424
1610612758,2011-12,22.0,0.333
1610612759,2011-12,50.0,0.758
1610612761,2011-12,23.0,0.348
1610612762,2011-12,36.0,0.545
1610612764,2011-12,20.0,0.303
1610612737,2012-13,44.0,0.537
1610612738,2012-13,41.0,0.506
1610612751,2012-13,49.0,0.598
1610612766,2012-13,21.0,0.256
1610612741,2012-13,45.0,0.549
1610612739,2012-13,24.0,0.293
1610612742,2012-13,41.0,0.5
1610612743,2012-13,57.0,0.695
1610612765,2012-13,29.0,0.354
1610612744,2012-13,47.0,0.573
1610612745,2012-13,45.0,0.549
1610612754,2012-13,49.0,0.605
1610612746,2012-13,56.0,0.683
1610612747,2012-13,45.0,0.549
1610612763,2012-13,56.0,0.683
1610612748,2012-13,66.0,0.805
1610612749,2012-13,38.0,0.463
1610612750,2012-13,31.0,0.378
1610612740,2012-13,27.0,0.329
1610612752,2012-13,54.0,0.659
1610612760,2012-13,60.0,0.732
1610612753,2012-13,20.0,0.244
1610612755,2012-13,34.0,0.415
1610612756,2012-13,25.0,0.305
1610612757,2012-13,33.0,0.402
1610612758,2012-13,28.0,0.341
1610612759,2012-13,58.0,0.707
1610612761,2012-13,34.0,0.415
1610612762,2012-13,43.0,0.524
1610612764,2012-13,29.0,0.354
1610612737,2013-14,38.0,0.463
1610612738,2013-14,25.0,0.305
1610612751,2013-14,44.0,0.537
1610612766,2013-14,43.0,0.524
1610612741,2013-14,48.0,0.585
1610612739,2013-14,33.0,0.402
1610612742,2013-14,49.0,0.598
1610612743,2013-14,36.0,0.439
1610612765,2013-14,29.0,0.354
1610612744,2013-14,51.0,0.622
1610612745,2013-14,54.0,0.659
1610612754,2013-14,56.0,0.683
1610612746,2013-14,57.0,0.695
1610612747,2013-14,27.0,0.329
1610612763,2013-14,50.0,0.61
1610612748,2013-14,54.0,0.659
1610612749,2013-14,15.0,0.183
1610612750,2013-14,40.0,0.488
1610612740,2013-14,34.0,0.415
1610612752,2013-14,37.0,0.451
1610612760,2013-14,59.0,0.72
1610612753,2013-14,23.0,0.28
1610612755,2013-14,19.0,0.232
1610612756,2013-14,48.0,0.585
1610612757,2013-14,54.0,0.659
1610612758,2013-14,28.0,0.341
1610612759,2013-14,62.0,0.756
